Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Lon Wright,Pulverized Coal,Operating,NE,41.4275,-96.4619,Fremont Dept of Public Utilities,Fremont Dept of Public Utilities,85,NA,0,0,Not Considered,Plant Too Old
Whelan Energy Center,Pulverized Coal,Operating,NE,40.5806,-98.3106,"Grand Island Utilities, Hastings Utilities (NE), Heartland Consumers Power District, Municipal Energy Agency of Nebraska, Nebraska City Utilities",Hastings Utilities (NE),297,NA,66,16,Fair,
Sheldon (NE),Pulverized Coal,Operating,NE,40.5589,-96.7842,Nebraska Public Power District,Nebraska Public Power District,225,NA,0,0,Not Considered,Plant Too Old
Boardman (OR),Pulverized Coal,Operating,OR,45.6933,-119.8056,"General Electric Capital Corp, Idaho Power Co, Pacific Northwest Generating Coop, Portland General Electric Co",Portland General Electric Co,585,NA,0,0,Not Considered,Plant Too Old
Jim Bridger,Pulverized Coal,Operating,WY,41.7378,-108.7875,"Idaho Power Co, PacifiCorp",PacifiCorp,2118,NA,0,0,Not Considered,Plant Too Old
Dave Johnston,Pulverized Coal,Operating,WY,42.8378,-105.7769,PacifiCorp,PacifiCorp,762,NA,0,0,Not Considered,Plant Too Old
Dry Fork Station,Pulverized Coal,Operating,WY,44.291092,-105.502221,"Basin Electric Power Coop, Wyoming Municipal Power Agency",Basin Electric Power Coop,390,NA,114,29,Fair,
Naughton,Pulverized Coal,Operating,WY,41.7572,-110.5986,PacifiCorp,PacifiCorp,700,NA,0,0,Not Considered,Plant Too Old
Plum Point Energy,Pulverized Coal,Operating,AR,35.6763,-90.0131,Plum Point Energy Associates LLC,Plum Point Energy Associates LLC,670,NA,156,54,Good,
Holcomb East,Pulverized Coal,Operating,KS,37.9306,-100.9725,Arkansas Electric Coop Corp,Sunflower Electric Power Corp,362,NA,102,26,Good,
Independence (AR),Pulverized Coal,Operating,AR,35.6733,-91.4083,"Arkansas Electric Coop Corp, Conway (City of), Entergy Arkansas Inc, Entergy Mississippi Inc, Jonesboro Water & Light, Osceola AR (City of), West Memphis Utility Dept",Entergy Arkansas Inc,1678,NA,304,126,Good,
Jeffrey Energy Center,Pulverized Coal,Operating,KS,39.2825,-96.1153,"Kansas Gas & Electric Co, KCP&L Greater Missouri Operations Co, Westar Energy Inc",Westar Energy Inc,2164,NA,208,52,Fair,
White Bluff,Pulverized Coal,Operating,AR,34.4236,-92.1392,"Arkansas Electric Coop Corp, Conway (City of), Entergy Arkansas Inc, Jonesboro Water & Light, West Memphis Utility Dept",Entergy Arkansas Inc,1659,NA,0,0,Not Considered,Plant Too Old
Wygen III,Pulverized Coal,Operating,WY,44.287,-105.387,"Black Hills Power Inc, Gillette WY (City of), MDU Resources Group Inc",Black Hills Power Inc,100,NA,34,9,Good,
Gerald Gentleman,Pulverized Coal,Operating,NE,41.0808,-101.1408,Nebraska Public Power District,Nebraska Public Power District,1365,NA,203,52,Good,
Nebraska City,Pulverized Coal,Operating,NE,40.6215,-95.7765,Omaha Public Power District,Omaha Public Power District,1330.2,NA,198,51,Good,
Platte,Pulverized Coal,Operating,NE,40.8538,-98.3481,Grand Island Utilities,Grand Island Utilities,100,NA,32,8,Good,
Laramie River,Pulverized Coal,Operating,WY,42.1103,-104.8828,"Basin Electric Power Coop, Los Alamos County, Municipal Energy Agency of Nebraska, Tri State Generation & Transmission Association Inc, Wyoming Municipal Power Agency",Basin Electric Power Coop,1710,NA,166,42,Good,
Neil Simpson II,Pulverized Coal,Operating,WY,44.2853,-105.3841,Black Hills Power Inc,Black Hills Power Inc,80,NA,24,6,Fair,
Wygen,Pulverized Coal,Operating,WY,44.2862,-105.3843,"Black Hills Power Inc, Municipal Energy Agency of Nebraska",Black Hills Power Inc,91,NA,26,7,Good,
Wygen II,Pulverized Coal,Operating,WY,44.2911,-105.3815,Cheyenne Light Fuel & Power Co,Cheyenne Light Fuel & Power Co,85,NA,28,7,Good,
Wyodak,Pulverized Coal,Operating,WY,44.2886,-105.3847,"Black Hills Power Inc, PacifiCorp",PacifiCorp,335,NA,0,0,Not Considered,Plant Too Old
Holcomb East,Pulverized Coal,Planned,KS,37.986135,-100.989333,"Golden Spread Electric Coop Inc, Sunflower Electric Power Corp",Sunflower Electric Power Corp,895,895,246,67,Good,
John W Turk Jr Power Plant,Pulverized Coal,Under Construction,AR,33.614565,-93.813516,"Northeast Texas Electric Coop Inc, Oklahoma Municipal Power Authority, Southwestern Electric Power Co",Southwestern Electric Power Co,609,609,177,45,Good,
May Plant,Pulverized Coal,Operating,SC,34.2338,-80.6558,INVISTA,INVISTA,30,NA,0,0,Not Considered,Low Operation
Red River Parish-PAC,Pulverized Coal,Planned,LA,32.0306,-93.5692,"Red River Environmental Products, LLC","Red River Environmental Products, LLC",0,36.76,0,0,Not Considered,Other
Coosa Pines,Pulverized Coal,Operating,AL,33.3278,-86.3583,Bowater Incorporated,Bowater Alabama LLC,26.1,NA,0,1,Not Considered,Unit Too Small for Tower
Apache Station,Pulverized Coal,Operating,AZ,32.0619,-109.8931,Arizona Electric Power Cooperative Inc.,"Arizona Electric Power Cooperative, Inc.",408,NA,0,0,Not Considered,Plant Too Old
E C Gaston,Pulverized Coal,Operating,AL,33.2442,-86.4567,Multi-Owned,Alabama Power Company,2012.8,NA,0,0,Not Considered,Plant Too Old
Jefferies,Pulverized Coal,Operating,SC,33.2422,-79.9875,South Carolina Public Service Authority,South Carolina Public Service Authority,345.6,NA,0,0,Not Considered,Plant Too Old
Riverbend,Pulverized Coal,Operating,NC,35.36,-80.9742,"Duke Energy Carolinas, LLC","Duke Energy Carolinas, LLC",466,NA,0,0,Not Considered,Plant Too Old
Valmont,Pulverized Coal,Operating,CO,40.0195,-105.202,Public Service Company of Colorado,Public Service Company of Colorado,191.7,NA,0,0,Not Considered,Plant Too Old
L V Sutton,Pulverized Coal,Operating,NC,34.2824,-77.9864,Carolina Power & Light Company,Carolina Power & Light Company,671.6,NA,0,0,Not Considered,Plant Too Old
W N Clark,Pulverized Coal,Operating,CO,38.4344,-105.25,Black Hills Colorado Electric Utility Corporation,"Black Hills Colorado Electric Utility Company, LP",43.7,NA,0,0,Not Considered,Plant Too Old
