stateId,year,hdd
VT,1986,8380
VT,1985,8542
VT,1984,8255
VT,1983,8212
VT,1982,8572
VT,1981,8337
VT,1980,8907
VT,1979,8226
VT,1978,9093
VT,1977,8406
VT,1976,8951
VT,1975,8269
VT,1974,8671
VT,1973,7957
VT,1972,9060
VT,1971,8714
VT,1970,8789
VT,1969,8569
VT,1968,8806
VT,1967,8878
VT,1966,8633
VT,1965,8835
VT,1964,8496
VT,1963,8923
VT,1962,8970
VT,1961,8515
VT,1960,8487
WA,2022,5788
WA,2021,5562
WA,2020,5416
WA,2019,5750
WA,2018,5382
WA,2017,5794
WA,2016,5126
WA,2015,4889
WA,2014,5256
WA,2013,5751
WA,2012,5790
WA,2011,6204
WA,2010,5577
WA,2009,5960
WA,2008,6134
WA,2007,5837
WA,2006,5554
WA,2005,5494
WA,2004,5238
WA,2003,5360
WA,2002,5756
WA,2001,5820
WA,2000,5893
WA,1999,5760
WA,1998,5303
WA,1997,5519
WA,1996,6061
WA,1995,5353
WA,1994,5507
WA,1993,5953
WA,1992,5175
WA,1991,5699
WA,1990,5750
WA,1989,5797
WA,1988,5636
WA,1987,5293
WA,1986,5565
WA,1985,6660
WA,1984,6115
WA,1983,5701
WA,1982,6127
WA,1981,5583
WA,1980,5873
WA,1979,5850
WA,1978,5938
WA,1977,6037
WA,1976,6037
WA,1975,6286
WA,1974,5851
WA,1973,5956
WA,1972,6328
WA,1971,6338
WA,1970,6093
WA,1969,6101
WA,1968,5911
WA,1967,5608
WA,1966,5764
WA,1965,5823
WA,1964,6416
WA,1963,5808
WA,1962,5951
WA,1961,5777
WA,1960,6134
DC,2022,3736
DC,2021,3435
DC,2020,3317
DC,2019,3571
DC,2018,3842
DC,2017,3286
DC,2016,3594
DC,2015,3656
DC,2014,3993
DC,2013,3870
DC,2012,3163
DC,2011,3705
DC,2010,3923
DC,2009,4124
DC,2008,3770
DC,2007,3904
DC,2006,3539
DC,2005,4154
DC,2004,4045
DC,2003,4337
DC,2002,3859
DC,2001,3710
DC,2000,4110
DC,1999,3781
DC,1998,3410
DC,1997,4002
DC,1996,4404
DC,1995,4228
DC,1994,4018
DC,1993,4287
DC,1992,4185
DC,1991,3615
DC,1990,3290
