period,seriesId,seriesDescription,stateId,stateDescription,value,unit,Outlier
2005,RERCB,Renewable energy sources consumed by the residential sector,US,United States,493726,Billion Btu,True
2005,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,51246,Billion Btu,True
2005,RETCB,Renewable energy total consumption,US,United States,4231361,Billion Btu,True
2005,RETCB,Renewable energy total consumption,WA,Washington,337323,Billion Btu,True
2005,REPRB,Renewable energy production,CA,California,361238,Billion Btu,True
2005,REPRB,Renewable energy production,US,United States,4218618,Billion Btu,True
2005,RETCB,Renewable energy total consumption,CA,California,439339,Billion Btu,True
2004,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,61068,Billion Btu,True
2004,RERCB,Renewable energy sources consumed by the residential sector,CA,California,54022,Billion Btu,True
2004,RERCB,Renewable energy sources consumed by the residential sector,US,United States,474596,Billion Btu,True
2004,REPRB,Renewable energy production,US,United States,4093472,Billion Btu,True
2004,RETCB,Renewable energy total consumption,CA,California,423563,Billion Btu,True
2004,RETCB,Renewable energy total consumption,WA,Washington,342000,Billion Btu,True
2004,REPRB,Renewable energy production,CA,California,352132,Billion Btu,True
2004,RETCB,Renewable energy total consumption,US,United States,4105528,Billion Btu,True
2003,RERCB,Renewable energy sources consumed by the residential sector,US,United States,464375,Billion Btu,True
2003,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,59504,Billion Btu,True
2003,RERCB,Renewable energy sources consumed by the residential sector,CA,California,53320,Billion Btu,True
2003,RETCB,Renewable energy total consumption,US,United States,3915884,Billion Btu,True
2003,REPRB,Renewable energy production,CA,California,357449,Billion Btu,True
2003,RETCB,Renewable energy total consumption,WA,Washington,348997,Billion Btu,True
2003,RETCB,Renewable energy total consumption,CA,California,406651,Billion Btu,True
2003,REPRB,Renewable energy production,US,United States,3914192,Billion Btu,True
2002,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,56530,Billion Btu,True
2002,RERCB,Renewable energy sources consumed by the residential sector,US,United States,443120,Billion Btu,True
2002,RERCB,Renewable energy sources consumed by the residential sector,CA,California,51918,Billion Btu,True
