year,stateId,REPRB,RERCB,RETCB
2001,OK,32162.0,2923.0,32198.0
2001,OR,151082.0,14987.0,152624.0
2001,PA,84228.0,13213.0,85729.0
2001,RI,3875.0,1959.0,3876.0
2001,SC,62093.0,4970.0,62097.0
2001,SD,17555.0,1328.0,17327.0
2001,TN,94271.0,6723.0,90787.0
2001,TX,80002.0,12672.0,85632.0
2001,UT,6239.0,2053.0,7552.0
2001,VA,85812.0,8238.0,88641.0
2001,VT,11136.0,1330.0,11137.0
2001,WA,280246.0,24075.0,282161.0
2001,WI,107115.0,7724.0,113726.0
2001,WV,8137.0,2310.0,8577.0
2001,WY,6298.0,573.0,6047.0
2002,AK,8191.0,2600.0,8538.0
2002,AL,193025.0,5505.0,193944.0
2002,AR,85388.0,2967.0,85422.0
2002,AZ,36653.0,8644.0,37820.0
2002,CA,347040.0,51918.0,355371.0
2002,CO,11960.0,5095.0,17922.0
2002,CT,26046.0,6534.0,26344.0
2002,DC,879.0,746.0,879.0
2002,DE,1311.0,1065.0,1312.0
2002,FL,173217.0,32509.0,173135.0
2002,GA,265343.0,9514.0,265354.0
2002,HI,9299.0,1230.0,9310.0
2002,IA,101329.0,4920.0,72597.0
2002,ID,54490.0,1444.0,53899.0
2002,IL,139390.0,16560.0,110708.0
2002,IN,49752.0,9223.0,52552.0
2002,KS,18954.0,4478.0,16319.0
2002,KY,35646.0,5291.0,37866.0
2002,LA,134911.0,3839.0,138094.0
2002,MA,40792.0,11831.0,40875.0
2002,MD,26833.0,6071.0,29893.0
2002,ME,121672.0,3018.0,121676.0
2002,MI,77921.0,14966.0,88212.0
2002,MN,95620.0,8601.0,92437.0
2002,MO,26051.0,9705.0,28683.0
2002,MS,49641.0,3217.0,49669.0
2002,MT,43959.0,1125.0,44049.0
2002,NC,101615.0,10174.0,107182.0
2002,ND,12637.0,1261.0,10991.0
2002,NE,62937.0,2915.0,36751.0
2002,NH,21182.0,2489.0,21184.0
2002,NJ,28506.0,8944.0,28604.0
2002,NM,6901.0,2361.0,6398.0
2002,NV,16458.0,2984.0,19522.0
2002,NY,194025.0,56530.0,194476.0
2002,OH,34852.0,16170.0,51832.0
2002,OK,27475.0,2958.0,27533.0
2002,OR,165419.0,15204.0,168348.0
2002,PA,81262.0,13418.0,81861.0
2002,RI,3673.0,1985.0,3710.0
2002,SC,71243.0,5056.0,71249.0
2002,SD,25723.0,1356.0,22801.0
2002,TN,99282.0,6821.0,94474.0
2002,TX,95466.0,12875.0,98087.0
2002,UT,6313.0,2081.0,6663.0
2002,VA,71200.0,8406.0,76266.0
2002,VT,15104.0,1351.0,15106.0
2002,WA,356598.0,24401.0,362363.0
2002,WI,84229.0,7839.0,93609.0
2002,WV,7871.0,2341.0,8958.0
2002,WY,5659.0,582.0,5308.0
2003,AK,8751.0,2735.0,8984.0
2003,AL,198409.0,5783.0,199713.0
2003,AR,90085.0,3014.0,90113.0
2003,AZ,35573.0,8833.0,36695.0
2003,CA,357449.0,53320.0,406651.0
2003,CO,12412.0,5353.0,19324.0
2003,CT,27437.0,6897.0,29180.0
2003,DC,924.0,785.0,924.0
2003,DE,1398.0,1145.0,1399.0
2003,FL,186891.0,32420.0,186724.0
2003,GA,193872.0,10026.0,193882.0
2003,HI,11487.0,1248.0,11495.0
2003,IA,123226.0,5208.0,81767.0
2003,ID,53472.0,1518.0,52787.0
2003,IL,158374.0,17608.0,126015.0
2003,IN,52446.0,9946.0,54645.0
2003,KS,23958.0,4719.0,19377.0
2003,KY,39112.0,5685.0,44005.0
2003,LA,142621.0,4102.0,146645.0
2003,MA,43105.0,12443.0,43186.0
2003,MD,36365.0,6422.0,36390.0
2003,ME,111046.0,3167.0,111050.0
2003,MI,93991.0,16002.0,103314.0
2003,MN,101719.0,9087.0,95537.0
2003,MO,27223.0,10218.0,30297.0
2003,MS,45346.0,3388.0,45369.0
2003,MT,41954.0,1182.0,42039.0
2003,NC,133211.0,10750.0,140514.0
2003,ND,14191.0,1361.0,12237.0
2003,NE,67120.0,3087.0,38720.0
2003,NH,20912.0,2618.0,20914.0
2003,NJ,26325.0,9629.0,26423.0
2003,NM,7182.0,2428.0,6370.0
2003,NV,14619.0,3122.0,18199.0
2003,NY,194140.0,59504.0,196144.0
2003,OH,44537.0,17187.0,60214.0
2003,OK,29515.0,3104.0,29563.0
2003,OR,158285.0,15976.0,160519.0
2003,PA,86730.0,14156.0,87398.0
2003,RI,3745.0,2087.0,3785.0
2003,SC,79189.0,5360.0,79195.0
2003,SD,38636.0,1445.0,28218.0
2003,TN,109392.0,7186.0,103629.0
2003,TX,92177.0,13617.0,94315.0
